"id","code","name","course_id","sequence"
"op_std_1","sem1","SEM-I","MCA",1
"op_std_2","semII","SEM II","MCA",2
"op_std_3","sem3","SEM III","MBA",3
"op_std_4","sem4","SEM IV","MBA",4
"op_std_5","sem5","SEM V","MCA",5
"op_std_6","sem6","SEM VI","MBA",6
"op_std_7","1","1st","General",7
"op_std_8","2","2nd","General",8
"op_std_9","3","3rd","General",9
"op_std_10","4","4th","General",10
"op_std_11","5","5th","General",11
"op_std_12","6","6th","General",12
"op_std_13","7","7th","General",13
"op_std_14","8","8th","General",14
"op_std_15","9","9th","General",15
"op_std_16","10","10th","General",16
"op_std_17","11","11th","General",17
"op_std_18","12","12th","General",18
