"id","code","course_id","name","type"
"op_subject_1","maths","General","Maths","Theory"
"op_subject_2","gujarati","General","Gujarati","Theory"
"op_subject_3","english","General","English","Theory"
"op_subject_4","sci","General","Science","Both"
"op_subject_5","adbms","BCA","Advance Database Management System","Both"
"op_subject_6","c","BCA","Programing Language C","Both"
"op_subject_7","os","BCA","Operating System","Both"
"op_subject_8","nw","MCA","Networking","Both"
"op_subject_9","wp","MCA","Windows Programing","Both"
"op_subject_10","AI","MCA","Artificial intelligence","Both"
"op_subject_11","SAD","MCA","System Analysis and Design","Theory"
"op_subject_12","acc","MBA","Advance Accounting","Theory"
"op_subject_13","PM","BBA","Principles of Management","Theory"
"op_subject_14","PE","BBA","Principles of Economics","Theory"
"op_subject_15","BM","BBA","Business Mathematics","Theory"
"op_subject_16","GSI","BBA","Growth & Structure of Industries","Theory"
"op_subject_17","AFM","MBA","Advanced Financial Management","Theory"
"op_subject_18","tax","MBA","Taxation","Theory"
"op_subject_19","AMM","MBA","Advanced Marketing Management","Theory"
"op_subject_20","ICL","MBA","Industrial & commercial Laws","Theory"
"op_subject_21","chem","General","Chemistry","Theory"
"op_subject_22","history","General","History","Theory"
