id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink

access_grading_assignment_type_assignment_manager,grading_assignment_type_assignment_manager,model_grading_assignment_type,openeducat_assignment.group_op_assignment_manager,1,1,1,1
access_grading_assignment_type_user,grading_assignment_type_user,model_grading_assignment_type,openeducat_assignment.group_op_assignment_user,1,1,1,0
access_op_assignment_sub_line_student,op_assignment_sub_line_student,model_op_assignment_sub_line,openeducat_assignment.group_op_assignment_manager,1,1,1,1
access_op_assignment_sub_line_user,op_assignment_sub_line_user,model_op_assignment_sub_line,openeducat_assignment.group_op_assignment_user,1,1,1,0
access_op_assignment_sub_line_portal,access_op_assignment_sub_line_portal,model_op_assignment_sub_line,base.group_portal,1,1,1,0
access_op_assignment_portal,op_assignment_portal,model_op_assignment,base.group_portal,1,1,1,0
access_op_assignment_student,op_assignment_student,model_op_assignment,openeducat_assignment.group_op_assignment_manager,1,1,1,1
access_op_assignment_user,op_assignment_user,model_op_assignment,openeducat_assignment.group_op_assignment_user,1,1,1,1
access_grading_assignment_manager,grading_assignment_manager,model_grading_assignment,openeducat_assignment.group_op_assignment_manager,1,1,1,1
access_grading_assignment_user,grading_assignment_user,model_grading_assignment,openeducat_assignment.group_op_assignment_user,1,1,1,0
access_grading_assignment_portal,grading_assignment_portal,model_grading_assignment,base.group_portal,1,1,1,0
