id,roll_number,student_id:id,course_id:id,batch_id:id
op_roll_number_1,LRP1,op_student_1,op_course_1,op_batch_2
op_roll_number_2,LRP2,op_student_2,op_course_1,op_batch_2
op_roll_number_3,LRP3,op_student_3,op_course_1,op_batch_2
op_roll_number_4,BOA1,op_student_4,op_course_3,op_batch_1
op_roll_number_5,BOA2,op_student_5,op_course_3,op_batch_1
op_roll_number_6,BOA3,op_student_6,op_course_3,op_batch_1
op_roll_number_7,BOA4,op_student_7,op_course_4,op_batch_1
op_roll_number_8,BOA5,op_student_8,op_course_4,op_batch_1
op_roll_number_9,ILTSG1,op_student_9,op_course_5,op_batch_3
op_roll_number_10,ILTSG2,op_student_10,op_course_5,op_batch_3
op_roll_number_11,ILTSG3,op_student_11,op_course_5,op_batch_3
op_roll_number_12,ILTSA1,op_student_12,op_course_5,op_batch_4
op_roll_number_13,ILTSA2,op_student_13,op_course_5,op_batch_4
op_roll_number_14,ILTSA3,op_student_14,op_course_5,op_batch_4
op_roll_number_15,ILTSA4,op_student_15,op_course_5,op_batch_4
op_roll_number_16,G1,op_student_16,op_course_6,op_batch_5
op_roll_number_17,G2,op_student_17,op_course_6,op_batch_5
op_roll_number_18,G3,op_student_18,op_course_6,op_batch_5
op_roll_number_19,G4,op_student_19,op_course_6,op_batch_5
op_roll_number_20,G5,op_student_20,op_course_6,op_batch_5
