id,student_id:id,exam_id:id,status,marks
op_exam_attendees_1,openeducat_core.op_student_4,op_exam_1,present,55
op_exam_attendees_2,openeducat_core.op_student_5,op_exam_1,present,59
op_exam_attendees_3,openeducat_core.op_student_6,op_exam_1,present,75
op_exam_attendees_4,openeducat_core.op_student_7,op_exam_1,present,67
op_exam_attendees_5,openeducat_core.op_student_8,op_exam_1,present,45

op_exam_attendees_6,openeducat_core.op_student_4,op_exam_2,present,85
op_exam_attendees_7,openeducat_core.op_student_5,op_exam_2,present,65
op_exam_attendees_8,openeducat_core.op_student_6,op_exam_2,absent,0
op_exam_attendees_9,openeducat_core.op_student_7,op_exam_2,present,55
op_exam_attendees_10,openeducat_core.op_student_8,op_exam_2,present,69

op_exam_attendees_11,openeducat_core.op_student_4,op_exam_3,present,84
op_exam_attendees_12,openeducat_core.op_student_5,op_exam_3,present,58
op_exam_attendees_13,openeducat_core.op_student_6,op_exam_3,present,88
op_exam_attendees_14,openeducat_core.op_student_7,op_exam_3,present,83
op_exam_attendees_15,openeducat_core.op_student_8,op_exam_3,present,57

op_exam_attendees_16,openeducat_core.op_student_4,op_exam_4,present,47
op_exam_attendees_17,openeducat_core.op_student_5,op_exam_4,present,56
op_exam_attendees_18,openeducat_core.op_student_6,op_exam_4,present,77
op_exam_attendees_19,openeducat_core.op_student_7,op_exam_4,absent,0
op_exam_attendees_20,openeducat_core.op_student_8,op_exam_4,present,55

op_exam_attendees_21,openeducat_core.op_student_1,op_exam_5,present,68
op_exam_attendees_22,openeducat_core.op_student_2,op_exam_5,present,61
op_exam_attendees_23,openeducat_core.op_student_3,op_exam_5,present,85

op_exam_attendees_24,openeducat_core.op_student_1,op_exam_6,present,54
op_exam_attendees_25,openeducat_core.op_student_2,op_exam_6,present,59
op_exam_attendees_26,openeducat_core.op_student_3,op_exam_6,present,55

op_exam_attendees_27,openeducat_core.op_student_1,op_exam_7,present,73
op_exam_attendees_28,openeducat_core.op_student_2,op_exam_7,present,79
op_exam_attendees_29,openeducat_core.op_student_3,op_exam_7,present,81

op_exam_attendees_30,openeducat_core.op_student_1,op_exam_8,present,90
op_exam_attendees_31,openeducat_core.op_student_2,op_exam_8,present,82
op_exam_attendees_32,openeducat_core.op_student_3,op_exam_8,present,84

op_exam_attendees_33,openeducat_core.op_student_1,op_exam_9,present,77
op_exam_attendees_34,openeducat_core.op_student_2,op_exam_9,present,71
op_exam_attendees_35,openeducat_core.op_student_3,op_exam_9,present,66

